Date,Price,Open,High,Low,Vol,Change %
2/23/2020,0.2834,0.2749,0.2843,0.2748,19900000000,3.08%
2/22/2020,0.2749,0.2742,0.278,0.2704,18200000000,0.25%
2/21/2020,0.2742,0.2711,0.2785,0.2688,24500000000,1.14%
2/20/2020,0.2711,0.2752,0.2815,0.2628,32800000000,-1.47%
2/19/2020,0.2752,0.2981,0.3062,0.2722,32600000000,-7.66%
2/18/2020,0.298,0.2871,0.3023,0.276,36800000000,3.81%
2/17/2020,0.2871,0.2929,0.2948,0.2693,38900000000,-2.07%
2/16/2020,0.2932,0.3075,0.3188,0.2711,42100000000,-4.68%
2/15/2020,0.3075,0.3359,0.3455,0.2968,41200000000,-8.43%
2/14/2020,0.3359,0.3273,0.3388,0.3121,41000000000,2.62%
2/13/2020,0.3273,0.3044,0.3393,0.302,60500000000,7.54%
2/12/2020,0.3044,0.2811,0.3086,0.2811,36700000000,8.29%
2/11/2020,0.2811,0.2735,0.2832,0.2676,20200000000,2.77%
2/10/2020,0.2735,0.2826,0.2832,0.2677,20600000000,-3.22%
2/9/2020,0.2826,0.2776,0.2887,0.2765,19600000000,1.79%
2/8/2020,0.2776,0.2795,0.2817,0.2648,19700000000,-0.70%
2/7/2020,0.2796,0.2836,0.288,0.2779,21200000000,-1.41%
2/6/2020,0.2836,0.2778,0.2877,0.2708,30800000000,2.08%
2/5/2020,0.2778,0.2672,0.282,0.2672,32400000000,3.97%
2/4/2020,0.2672,0.2546,0.2688,0.2546,28900000000,4.92%
2/3/2020,0.2547,0.251,0.2591,0.2474,20900000000,1.47%
2/2/2020,0.251,0.2413,0.261,0.2362,24700000000,4.00%
2/1/2020,0.2413,0.2394,0.2429,0.2372,12900000000,0.81%
1/31/2020,0.2394,0.2433,0.2444,0.234,18100000000,-1.62%
1/30/2020,0.2433,0.2355,0.2459,0.2312,20700000000,3.34%
1/29/2020,0.2355,0.2392,0.2417,0.2346,18600000000,-1.57%
1/28/2020,0.2392,0.2309,0.2411,0.2309,19600000000,3.62%
1/27/2020,0.2309,0.2311,0.2337,0.2264,15100000000,-0.13%
1/26/2020,0.2311,0.2196,0.232,0.2182,13000000000,5.26%
1/25/2020,0.2196,0.2222,0.2226,0.2169,11300000000,-1.16%
1/24/2020,0.2222,0.2259,0.2262,0.214,16900000000,-1.68%
1/23/2020,0.226,0.2372,0.2373,0.2216,15700000000,-4.74%
1/22/2020,0.2372,0.2372,0.2398,0.2333,13900000000,0.00%
1/21/2020,0.2372,0.2331,0.2418,0.2311,16300000000,1.78%
1/20/2020,0.2331,0.2357,0.2364,0.2245,15500000000,-1.13%
1/19/2020,0.2357,0.2435,0.2512,0.2282,23900000000,-3.19%
1/18/2020,0.2435,0.2392,0.254,0.2321,26600000000,1.81%
1/17/2020,0.2392,0.2292,0.2443,0.2267,27700000000,4.36%
1/16/2020,0.2292,0.2338,0.235,0.2227,24600000000,-1.97%
1/15/2020,0.2338,0.235,0.235,0.2265,32300000000,-0.51%
1/14/2020,0.235,0.2114,0.2444,0.2113,32400000000,11.15%
1/13/2020,0.2114,0.2153,0.2155,0.2101,13200000000,-1.80%
1/12/2020,0.2153,0.2113,0.2169,0.2097,16400000000,1.85%
1/11/2020,0.2114,0.2126,0.2197,0.2088,20800000000,-0.57%
1/10/2020,0.2126,0.2037,0.2127,0.2005,21300000000,4.35%
1/9/2020,0.2037,0.2076,0.2087,0.2013,17700000000,-1.85%
1/8/2020,0.2076,0.2135,0.2176,0.2034,24400000000,-2.79%
1/7/2020,0.2135,0.2231,0.225,0.2074,30000000000,-4.28%
1/6/2020,0.2231,0.1946,0.2231,0.1943,28400000000,14.65%
1/5/2020,0.1945,0.1931,0.1971,0.1929,11500000000,0.74%
1/4/2020,0.1931,0.1932,0.1937,0.1914,11100000000,-0.05%
1/3/2020,0.1932,0.1875,0.1938,0.1846,17400000000,3.06%
1/2/2020,0.1875,0.1931,0.1931,0.1863,14700000000,-2.89%
1/1/2020,0.1931,0.1929,0.1951,0.1922,12300000000,0.07%
12/31/2019,0.1929,0.1932,0.194,0.19,13300000000,-0.13%
12/30/2019,0.1932,0.1967,0.1977,0.1922,15600000000,-1.80%
12/29/2019,0.1967,0.1931,0.1983,0.1911,14700000000,1.89%
12/28/2019,0.1931,0.1899,0.1948,0.1897,15000000000,1.65%
12/27/2019,0.19,0.1892,0.19,0.1854,14300000000,0.38%
12/26/2019,0.1892,0.1886,0.1938,0.1874,15200000000,0.32%
12/25/2019,0.1886,0.1908,0.1913,0.1865,13700000000,-1.13%
12/24/2019,0.1908,0.1898,0.1937,0.1877,16900000000,0.53%
12/23/2019,0.1898,0.1964,0.1982,0.1885,18000000000,-3.38%
12/22/2019,0.1964,0.1915,0.1965,0.1905,14100000000,2.59%
12/21/2019,0.1915,0.1951,0.1959,0.1903,14600000000,-1.88%
12/20/2019,0.1951,0.1879,0.1977,0.1841,22800000000,3.87%
12/19/2019,0.1879,0.1957,0.1969,0.1847,19400000000,-4.03%
12/18/2019,0.1957,0.183,0.1991,0.1755,31100000000,6.96%
12/17/2019,0.183,0.2056,0.2057,0.179,31200000000,-11.00%
12/16/2019,0.2056,0.2174,0.2176,0.2036,16500000000,-5.44%
12/15/2019,0.2175,0.2163,0.2191,0.215,10100000000,0.53%
12/14/2019,0.2163,0.2206,0.2207,0.2151,10400000000,-1.93%
12/13/2019,0.2206,0.2185,0.2206,0.2157,13200000000,0.94%
12/12/2019,0.2185,0.221,0.2225,0.2173,13800000000,-1.10%
12/11/2019,0.2209,0.2226,0.2236,0.2202,10900000000,-0.75%
12/10/2019,0.2226,0.2245,0.2253,0.2191,13100000000,-0.85%
12/9/2019,0.2245,0.2292,0.2303,0.2214,13800000000,-2.05%
12/8/2019,0.2292,0.2271,0.2318,0.2239,12400000000,0.94%
12/7/2019,0.2271,0.2256,0.2279,0.2232,12100000000,0.68%
12/6/2019,0.2256,0.2211,0.2262,0.219,15000000000,1.99%
12/5/2019,0.2212,0.2141,0.2259,0.2121,21900000000,3.30%
12/4/2019,0.2141,0.2195,0.2237,0.2099,18500000000,-2.44%
12/3/2019,0.2195,0.2191,0.2217,0.2179,12000000000,0.14%
12/2/2019,0.2192,0.2248,0.2261,0.2176,13900000000,-2.52%
12/1/2019,0.2248,0.2255,0.2256,0.2188,12500000000,-0.29%
11/30/2019,0.2255,0.2301,0.2319,0.2238,11200000000,-1.98%
11/29/2019,0.23,0.2231,0.2322,0.2227,14400000000,3.11%
11/28/2019,0.2231,0.224,0.2291,0.2227,13200000000,-0.42%
11/27/2019,0.224,0.2207,0.2293,0.2129,18600000000,1.51%
11/26/2019,0.2207,0.2179,0.2219,0.2138,15200000000,1.32%
11/25/2019,0.2178,0.2202,0.2243,0.2027,28600000000,-1.08%
11/24/2019,0.2202,0.234,0.2346,0.2193,14000000000,-5.88%
11/23/2019,0.234,0.2302,0.2354,0.2257,15400000000,1.65%
11/22/2019,0.2302,0.2434,0.2457,0.2222,24200000000,-5.41%
11/21/2019,0.2434,0.2503,0.2535,0.237,17600000000,-2.75%
11/20/2019,0.2502,0.2539,0.2582,0.2483,13700000000,-1.42%
11/19/2019,0.2539,0.252,0.2563,0.2436,15100000000,0.74%
11/18/2019,0.252,0.263,0.2631,0.2426,15300000000,-4.20%
11/17/2019,0.263,0.2622,0.2659,0.2593,12500000000,0.32%
11/16/2019,0.2622,0.2606,0.264,0.2594,12500000000,0.60%
11/15/2019,0.2606,0.2682,0.2722,0.254,17200000000,-2.83%
11/14/2019,0.2682,0.2722,0.2727,0.2641,12600000000,-1.44%
11/13/2019,0.2722,0.2722,0.2753,0.2703,12900000000,0.00%
11/12/2019,0.2721,0.2743,0.2762,0.2682,15600000000,-0.79%
11/11/2019,0.2743,0.2792,0.281,0.2701,15300000000,-1.75%
11/10/2019,0.2792,0.2799,0.2837,0.2768,16100000000,-0.24%
11/9/2019,0.2799,0.2755,0.2814,0.2747,14900000000,1.58%
11/8/2019,0.2755,0.2906,0.2908,0.2719,21900000000,-5.18%
11/7/2019,0.2906,0.3102,0.3142,0.2771,26400000000,-6.32%
11/6/2019,0.3102,0.3006,0.3128,0.2971,17300000000,3.19%
11/5/2019,0.3006,0.2988,0.3042,0.2956,18700000000,0.60%
11/4/2019,0.2988,0.2903,0.2998,0.2893,17200000000,2.93%
11/3/2019,0.2903,0.2947,0.2959,0.2887,14400000000,-1.49%
11/2/2019,0.2947,0.2914,0.2973,0.2913,16200000000,1.14%
11/1/2019,0.2914,0.2945,0.2945,0.2854,16800000000,-1.05%
10/31/2019,0.2945,0.2947,0.2984,0.2882,17600000000,-0.05%
10/30/2019,0.2946,0.3019,0.3056,0.2907,19900000000,-2.40%
10/29/2019,0.3019,0.2944,0.3091,0.2944,21900000000,2.51%
10/28/2019,0.2945,0.2983,0.3044,0.2935,20700000000,-1.27%
10/27/2019,0.2983,0.2937,0.3019,0.2895,22700000000,1.54%
10/26/2019,0.2938,0.2983,0.312,0.2843,34500000000,-1.54%
10/25/2019,0.2983,0.276,0.3067,0.2747,26600000000,8.09%
10/24/2019,0.276,0.2732,0.28,0.2669,16700000000,1.02%
10/23/2019,0.2732,0.2905,0.2912,0.2516,25000000000,-5.95%
10/22/2019,0.2905,0.292,0.3022,0.289,15900000000,-0.53%
10/21/2019,0.2921,0.294,0.2942,0.2885,14800000000,-0.65%
10/20/2019,0.294,0.2913,0.2961,0.2821,17600000000,0.91%
10/19/2019,0.2913,0.2939,0.2988,0.2874,16900000000,-0.88%
10/18/2019,0.2939,0.3017,0.3019,0.285,20200000000,-2.59%
10/17/2019,0.3017,0.2834,0.303,0.28,21000000000,6.46%
10/16/2019,0.2834,0.2884,0.292,0.2789,19600000000,-1.72%
10/15/2019,0.2884,0.2973,0.2988,0.2833,21200000000,-2.98%
10/14/2019,0.2972,0.2774,0.2977,0.2765,20800000000,7.17%
10/13/2019,0.2774,0.2724,0.2812,0.2716,14400000000,1.84%
10/12/2019,0.2724,0.2674,0.277,0.2673,13500000000,1.85%
10/11/2019,0.2674,0.2703,0.2744,0.2648,13900000000,-1.08%
10/10/2019,0.2703,0.281,0.2817,0.2655,16100000000,-3.78%
10/9/2019,0.281,0.2775,0.2863,0.2738,18900000000,1.23%
10/8/2019,0.2775,0.2758,0.2848,0.2709,18800000000,0.63%
10/7/2019,0.2758,0.2553,0.2808,0.2535,24000000000,8.02%
10/6/2019,0.2553,0.2532,0.2562,0.251,11700000000,0.85%
10/5/2019,0.2532,0.2525,0.2562,0.2471,10600000000,0.29%
10/4/2019,0.2524,0.2468,0.2563,0.2449,11100000000,2.27%
10/3/2019,0.2468,0.2528,0.2529,0.2423,11300000000,-2.36%
10/2/2019,0.2528,0.2481,0.2545,0.2445,12600000000,1.91%
10/1/2019,0.248,0.2564,0.2606,0.2451,14900000000,-3.27%
9/30/2019,0.2564,0.2402,0.2613,0.2359,18000000000,6.76%
9/29/2019,0.2402,0.2419,0.2422,0.2348,932380000,-0.69%
9/28/2019,0.2419,0.2422,0.2443,0.2383,989120000,-0.13%
9/27/2019,0.2422,0.2422,0.2468,0.2337,13700000000,0.00%
9/26/2019,0.2422,0.2456,0.2495,0.2302,17100000000,-1.44%
9/25/2019,0.2457,0.2333,0.2488,0.2321,20700000000,5.29%
